id,business_name,category,city,country,phone,email,website,address,facebook,instagram,linkedin,rating,review_count,score,priority,lead_status,contactable,matched_services,response_time_ms,page_size_kb,reason,discovery_sources,created_at
10,Altamash Dental Hospital,dentist,Karachi Division,Pakistan,+922135821955,info@altamash.edu.pk,https://www.altamash.edu.pk/,"Altamash Dental Hospital, 2R Sunset Boulevard, Zamzama, Karachi Division 75220, Pakistan",,,,,,25,COLD,actionable,True,"AI Automation, Google Ads, SEO, Social Media Marketing, Web App Development",,,"Priority COLD (Score 25/100): SEO defects detected (multiple_h1) (+15); No active social media channels (+10). Recommended: [SEO (technical defects: multiple_h1), Google Ads (paid search recovery for organic search/review gaps), Social Media Marketing (zero active social media presence), AI Automation (missing automated booking/inquiry workflows), Web App Development (clinical/transactional workflow portal)]. [Actionable: Direct Phone, Email available for outreach].",geoapify,2026-08-18 11:05:34
53,Royal Arsenal Dentists,dentist,Greater London,United Kingdom,+442083170590,,https://www.royalarsenaldentists.com/,"Royal Arsenal Dentists, Duke of Wellington Avenue, London, SE18 6GH, United Kingdom",https://www.facebook.com/royalarsenaldentists/,https://www.instagram.com/royalarsenaldentists/,,,,0,COLD,actionable,True,"AI Automation, Social Media Management, Web App Development",,,Priority COLD (Score 0/100): Baseline technical presence. Recommended: [Social Media Management (incomplete multichannel social presence)]. [Actionable: Direct Phone available for outreach].,geoapify,2026-08-18 11:14:27
55,Orchard Green Dental Practice,dentist,Greater London,United Kingdom,+01689821217,info@orchardgreendental.com,https://www.orchardgreendental.com/,"Orchard Green Dental Practice, 9 Crofton Road, Orpington, BR6 8AE, United Kingdom",,https://www.instagram.com/orchardgreendental/,,,,0,COLD,actionable,True,Social Media Management,,,"Priority COLD (Score 0/100): Baseline technical presence. Recommended: [Social Media Management (incomplete multichannel social presence)]. [Actionable: Direct Phone, Email available for outreach].",geoapify,2026-08-18 11:14:27
56,The Meridian Dental Practice,dentist,Greater London,United Kingdom,+442088533177,info@themeridiandentalpractice.co.uk,http://dentistgreenwich.co.uk/,"The Meridian Dental Practice, 36 Woolwich Road, London, SE10 0JU, United Kingdom",https://www.facebook.com/themeridiandentalpractice/,,,,,25,COLD,actionable,True,"AI Automation, Google Ads, SEO, Social Media Management, Web App Development",,,"Priority COLD (Score 25/100): Website is not secured via HTTPS (+10); SEO defects detected (missing_meta_description, missing_h1) (+15). Recommended: [SEO (technical defects: missing_meta_description, missing_h1), Google Ads (paid search recovery for organic search/review gaps), Social Media Management (incomplete multichannel social presence), AI Automation (missing automated booking/inquiry workflows), Web App Development (clinical/transactional workflow portal)]. [Actionable: Direct Phone, Email available for outreach].",geoapify,2026-08-18 11:14:27
65,Wisteria House Dental Practice,dentist,Greater London,United Kingdom,+02085551144,,https://www.wisteriadp.co.uk/,"Wisteria House Dental Practice, 55 Romford Road, London, E15 4LY, United Kingdom",https://www.facebook.com/wisteriadp/,https://www.instagram.com/wisteriadp/,,,,15,COLD,actionable,True,"Google Ads, SEO, Social Media Management",,,"Priority COLD (Score 15/100): SEO defects detected (missing_h1) (+15). Recommended: [SEO (technical defects: missing_h1), Google Ads (paid search recovery for organic search/review gaps), Social Media Management (incomplete multichannel social presence)]. [Actionable: Direct Phone available for outreach].",geoapify,2026-08-18 11:14:27
67,Harrow Road Dental Surgery,dentist,Wembley,GB,+442089041409,,,"883, Harrow Road",,,,,,40,WARM,actionable,True,"SEO, Social Media Marketing, Web Development",,,"Priority WARM (Score 40/100): No active website found (+30); No active social media channels (+10). Recommended: [Web Development (no active website found), SEO (initial local search setup for new web build), Social Media Marketing (zero active social media presence)]. [Actionable: Direct Phone available for outreach].",osm,2026-08-18 11:21:58
69,Perivale Dental Practice,dentist,London,GB,+442089972737,,,,,,,,,40,WARM,actionable,True,"SEO, Social Media Marketing, Web Development",,,"Priority WARM (Score 40/100): No active website found (+30); No active social media channels (+10). Recommended: [Web Development (no active website found), SEO (initial local search setup for new web build), Social Media Marketing (zero active social media presence)]. [Actionable: Direct Phone available for outreach].",osm,2026-08-18 11:21:58
72,Pembridge Dental,dentist,London,GB,+442077273976,ardalan.eghtedar@gmail.com,https://pembridgedental.co.uk/,"40, Pembridge Road",https://www.facebook.com/pembridgedental,https://www.instagram.com/pembridgedental/,,,,15,COLD,actionable,True,"Google Ads, SEO, Social Media Management",,,"Priority COLD (Score 15/100): SEO defects detected (multiple_h1) (+15). Recommended: [SEO (technical defects: multiple_h1), Google Ads (paid search recovery for organic search/review gaps), Social Media Management (incomplete multichannel social presence)]. [Actionable: Direct Phone, Email available for outreach].",osm,2026-08-18 11:21:58
73,Garden Square Dental Practice,dentist,London,GB,+442072298716,info@gardensquaredental.co.uk,https://www.gardensquaredental.co.uk/,"50, Kensington Gardens Square",https://www.facebook.com/pages/Garden-Square-Dental/104839022906480,https://www.instagram.com/gardensquaredental/,https://www.linkedin.com/company/garden-square-dental-practice%E2%80%8E/,,,0,COLD,actionable,True,,,,"Priority COLD (Score 0/100): Solid baseline web, SEO, and social presence. Low immediate service urgency. [Actionable: Direct Phone, Email available for outreach].",osm,2026-08-18 11:21:58
74,,dentist,London,GB,+442084221857,,,,,,,,,40,WARM,actionable,True,"SEO, Social Media Marketing, Web Development",,,"Priority WARM (Score 40/100): No active website found (+30); No active social media channels (+10). Recommended: [Web Development (no active website found), SEO (initial local search setup for new web build), Social Media Marketing (zero active social media presence)]. [Actionable: Direct Phone available for outreach].",osm,2026-08-18 11:21:58
77,Beeches Dental Surgery,dentist,Carshalton,GB,+442087734508,enquiries@beechesdentalsurgery.co.uk,https://www.beechesdentalsurgery.co.uk/,"9, Beeches Avenue",,https://www.instagram.com/beechesdental/,,,,15,COLD,actionable,True,"AI Automation, Google Ads, SEO, Social Media Management, Web App Development",,,"Priority COLD (Score 15/100): SEO defects detected (missing_meta_description) (+15). Recommended: [SEO (technical defects: missing_meta_description), Google Ads (paid search recovery for organic search/review gaps), Social Media Management (incomplete multichannel social presence), AI Automation (missing automated booking/inquiry workflows), Web App Development (clinical/transactional workflow portal)]. [Actionable: Direct Phone, Email available for outreach].",osm,2026-08-18 11:21:58
78,Chiswick Park Dental Practice,dentist,London,GB,+442089879977,mail@chiswickparkdentalpractice.co.uk,https://www.chiswickparkdental.co.uk/,"62, South Parade",https://www.facebook.com/ChiswickParkDental,https://www.instagram.com/cpdental/,,,,15,COLD,actionable,True,"Google Ads, SEO, Social Media Management",,,"Priority COLD (Score 15/100): SEO defects detected (multiple_h1) (+15). Recommended: [SEO (technical defects: multiple_h1), Google Ads (paid search recovery for organic search/review gaps), Social Media Management (incomplete multichannel social presence)]. [Actionable: Direct Phone, Email available for outreach].",osm,2026-08-18 11:21:58
80,Dental Beauty,dentist,London,GB,+442089926681,,https://www.sacoordental.com/,"191, High Street",,,,,,40,WARM,actionable,True,"SEO, Social Media Marketing, Web Development",,,"Priority WARM (Score 40/100): No active website found (+30); No active social media channels (+10). Recommended: [Web Development (no active website found), SEO (initial local search setup for new web build), Social Media Marketing (zero active social media presence)]. [Actionable: Direct Phone available for outreach].",osm,2026-08-18 11:21:58
82,Dental Beauty Islington,dentist,London,GB,+442073596103,,https://dentalbeautyislington.co.uk/,"103-104, Upper Street, Islington",,,,,,40,WARM,actionable,True,"SEO, Social Media Marketing, Web Development",,,"Priority WARM (Score 40/100): No active website found (+30); No active social media channels (+10). Recommended: [Web Development (no active website found), SEO (initial local search setup for new web build), Social Media Marketing (zero active social media presence)]. [Actionable: Direct Phone available for outreach].",osm,2026-08-18 11:21:58
88,A. Nejad,dentist,Berlin,DE,+49303619106,,,,,,,,,40,WARM,actionable,True,"Google Ads, SEO, Social Media Marketing, Web Development",,,Priority WARM (Score 40/100) | Signals: No active website (+30); No active social media channels (+10) | Recommended Services: Web Development (no active website found); SEO (needs initial search visibility & indexing); Social Media Marketing (no active social channels detected); Google Ads (high commercial search demand & acquisition intent) | Actionable: Direct Phone available for outreach.,osm,2026-08-18 11:23:40
93,"Zahnärzte Nicolas Weiss, Volker Landmann",dentist,Berlin,DE,+49307445020,praxis.weiss.landmann@gmail.com,http://www.zahnarztpraxis-lichtenrade.de/,,,,,,,10,COLD,actionable,True,"AI Automation, Social Media Marketing",518.43,77.1,Priority COLD (Score 10/100) | Signals: No active social media channels (+10) | Recommended Services: Social Media Marketing (no active social channels detected); AI Automation (missing automated booking / lead capture) | Actionable: Direct Phone & Email available for outreach.,osm,2026-08-18 11:23:40
94,DentZ,dentist,Berlin,DE,+49302647972600,info@dentz-berlin.de,http://dentz-berlin.de,"143, Tempelhofer Damm",https://www.facebook.com/Doctor-Dentz-716085375451853,,,,,15,COLD,actionable,True,"AI Automation, Google Ads, SEO, Social Media Management",3573.84,112.15,Priority COLD (Score 15/100) | Signals: SEO defects detected (missing_meta_description) (+15) | Recommended Services: SEO (technical defects: missing_meta_description); Social Media Management (multi-channel expansion); Google Ads (high commercial search demand & acquisition intent); AI Automation (missing automated booking / lead capture) | Actionable: Direct Phone & Email available for outreach.,osm,2026-08-18 11:23:40
