id,business_name,category,city,country,phone,email,website,address,facebook,instagram,linkedin,rating,review_count,score,priority,lead_status,contactable,matched_services,reason,discovery_sources,created_at
218,Joon,cafe,Munich,DE,+498941550941,info@cafejoon.de,http://cafejoon.de,"114, Theresienstraße",https://www.facebook.com/cafejoon?ref=ts&fref=ts,,,,,25,COLD,actionable,True,"AI Automation, Google Ads, Mobile App Development, SEO, Social Media Management","Priority COLD (Score 25/100): Website is not secured via HTTPS (+10); SEO defects detected (multiple_h1, no_https) (+15). Recommended: [SEO (technical defects: multiple_h1, no_https), Google Ads (paid search recovery for organic search/review gaps), Social Media Management (incomplete multichannel social presence), AI Automation (missing automated booking/inquiry workflows), Mobile App Development (high-frequency mobile loyalty/ordering)]. [Actionable: Direct Phone, Email available for outreach].",osm,2026-08-19 10:16:46
221,Konditorei Widmann,cafe,Munich,Germany,+49897146409,service@konditorei-widmann.de,https://www.konditorei-widmann.de/konditorei/,"Konditorei Widmann, Heiglhofstraße 11, 81377 Munich, Germany",,,,,,10,COLD,actionable,True,"AI Automation, Mobile App Development, Social Media Marketing","Priority COLD (Score 10/100): No active social media channels (+10). Recommended: [Social Media Marketing (zero active social media presence), AI Automation (missing automated booking/inquiry workflows), Mobile App Development (high-frequency mobile loyalty/ordering)]. [Actionable: Direct Phone, Email available for outreach].",geoapify,2026-08-19 10:16:46
222,Cafe Factory,cafe,Munich,Germany,+498955000537,cafefactory@akinayhan.de,https://cafe-factory.eatbu.com/,"Cafe Factory, Forstenrieder Allee 61, 81476 Munich, Germany",,,,,,10,COLD,actionable,True,"AI Automation, Mobile App Development, Social Media Marketing","Priority COLD (Score 10/100): No active social media channels (+10). Recommended: [Social Media Marketing (zero active social media presence), AI Automation (missing automated booking/inquiry workflows), Mobile App Development (high-frequency mobile loyalty/ordering)]. [Actionable: Direct Phone, Email available for outreach].",geoapify,2026-08-19 10:16:46
223,Innspire Cafe Bar,cafe,Munich,Germany,,,,"Innspire Cafe Bar, Limesstraße 59, 81243 Munich, Germany",,,,,,40,WARM,needs_manual_lookup,False,"SEO, Social Media Marketing, Web Development","Priority WARM (Score 40/100): No active website found (+30); No active social media channels (+10). Recommended: [Web Development (no active website found), SEO (initial local search setup for new web build), Social Media Marketing (zero active social media presence)]. [Needs Manual Lookup: No direct phone or email found on public tags/pages].",geoapify,2026-08-19 10:16:46
224,Starbucks,cafe,Munich,Germany,,,https://www.starbucks.co.uk/store-locator/56846-290815/muenchen-pasing,"Starbucks, Pasinger Bahnhofsplatz, 81241 Munich, Germany",https://www.facebook.com/starbucksuk,https://www.instagram.com/starbucksuk/,,,,0,COLD,needs_manual_lookup,False,"AI Automation, Mobile App Development, Social Media Management","Priority COLD (Score 0/100): Baseline technical presence. Recommended: [Social Media Management (incomplete multichannel social presence), AI Automation (missing automated booking/inquiry workflows), Mobile App Development (high-frequency mobile loyalty/ordering)]. [Needs Manual Lookup: No direct phone or email found on public tags/pages].",geoapify,2026-08-19 10:16:46
225,Eiscafe Portofino,cafe,Munich,Germany,+49898203365,,,"Eiscafe Portofino, Gleichmannstraße, 81241 Munich, Germany",,,,,,40,WARM,actionable,True,"SEO, Social Media Marketing, Web Development","Priority WARM (Score 40/100): No active website found (+30); No active social media channels (+10). Recommended: [Web Development (no active website found), SEO (initial local search setup for new web build), Social Media Marketing (zero active social media presence)]. [Actionable: Direct Phone available for outreach].",geoapify,2026-08-19 10:16:46
226,Geluk All Day Cafe,cafe,Munich,Germany,+498924604997,,,"Geluk All Day Cafe, Verdistraße, 81247 Munich, Germany",,,,,,40,WARM,actionable,True,"SEO, Social Media Marketing, Web Development","Priority WARM (Score 40/100): No active website found (+30); No active social media channels (+10). Recommended: [Web Development (no active website found), SEO (initial local search setup for new web build), Social Media Marketing (zero active social media presence)]. [Actionable: Direct Phone available for outreach].",geoapify,2026-08-19 10:16:46
227,Die Kuchenmeisterei,cafe,Munich,Germany,+4989565866,briefkasten@diekuchenmeisterei.de,https://www.diekuchenmeisterei.de/,"Die Kuchenmeisterei, Agnes-Bernauer-Straße 122, 80687 Munich, Germany",,,,,,25,COLD,actionable,True,"AI Automation, Google Ads, Mobile App Development, SEO, Social Media Marketing","Priority COLD (Score 25/100): SEO defects detected (multiple_h1) (+15); No active social media channels (+10). Recommended: [SEO (technical defects: multiple_h1), Google Ads (paid search recovery for organic search/review gaps), Social Media Marketing (zero active social media presence), AI Automation (missing automated booking/inquiry workflows), Mobile App Development (high-frequency mobile loyalty/ordering)]. [Actionable: Direct Phone, Email available for outreach].",geoapify,2026-08-19 10:16:46
228,Cafe Bar 11er,cafe,Munich,Germany,,,,"Cafe Bar 11er, Landsberger Straße 476, 81241 Munich, Germany",,,,,,40,WARM,needs_manual_lookup,False,"SEO, Social Media Marketing, Web Development","Priority WARM (Score 40/100): No active website found (+30); No active social media channels (+10). Recommended: [Web Development (no active website found), SEO (initial local search setup for new web build), Social Media Marketing (zero active social media presence)]. [Needs Manual Lookup: No direct phone or email found on public tags/pages].",geoapify,2026-08-19 10:16:46
229,Marea,cafe,Munich,Germany,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,https://mareafreiham.wixsite.com/marea-freiham,"Marea, Ute-Strittmatter-Straße, 81248 Munich, Germany",,,,,,25,COLD,actionable,True,"AI Automation, Google Ads, Mobile App Development, SEO, Social Media Marketing","Priority COLD (Score 25/100): SEO defects detected (missing_h1) (+15); No active social media channels (+10). Recommended: [SEO (technical defects: missing_h1), Google Ads (paid search recovery for organic search/review gaps), Social Media Marketing (zero active social media presence), AI Automation (missing automated booking/inquiry workflows), Mobile App Development (high-frequency mobile loyalty/ordering)]. [Actionable: Direct Email available for outreach].",geoapify,2026-08-19 10:16:46
