id,business_name,category,city,country,phone,email,website,address,facebook,instagram,linkedin,rating,review_count,score,priority,lead_status,contactable,matched_services,reason,discovery_sources,created_at
284,Bluechip Real Estate,real estate,Dubai,AE,+97143951212,info@bluechiphome.com,https://bluechiphome.com/,"Al Barsha 1, sheikh Zayed Road",https://www.facebook.com/bluechipdubai/,https://www.instagram.com/bluechiprealestate_/,https://www.linkedin.com/company/bluechipdubai/,,,15,COLD,actionable,True,"Google Ads, Google Shopping, Mobile App Development, SEO, Web App Development",Priority COLD (Score 15/100) | Signals: SEO defects detected (missing_h1) (+15) | Recommended Services: SEO (technical defects: missing_h1); Google Ads (high commercial search demand & acquisition intent); Google Shopping (e-commerce catalog detected); Web App Development (custom checkout / portal workflows); Mobile App Development (customer loyalty & recurring ordering) | Actionable: Direct Phone & Email available for outreach.,osm,2026-08-19 10:27:02
285,Kainatt Properties,real estate,Dubai,AE,,,www.kainattproperties.com,,,,,,,40,WARM,needs_manual_lookup,False,"AI Automation, Google Ads, SEO, Social Media Marketing, Web Development",Priority WARM (Score 40/100) | Signals: No active website (+30); No active social media channels (+10) | Recommended Services: Web Development (no active website found); SEO (needs initial search visibility & indexing); Social Media Marketing (no active social channels detected); Google Ads (high commercial search demand & acquisition intent); AI Automation (missing automated booking / lead capture) | Needs Manual Lookup: No direct phone or verified email found.,osm,2026-08-19 10:27:02
286,GGICO Properties,real estate,Dubai,AE,,,,3 a Street,,,,,,40,WARM,needs_manual_lookup,False,"Google Ads, SEO, Social Media Marketing, Web Development",Priority WARM (Score 40/100) | Signals: No active website (+30); No active social media channels (+10) | Recommended Services: Web Development (no active website found); SEO (needs initial search visibility & indexing); Social Media Marketing (no active social channels detected); Google Ads (high commercial search demand & acquisition intent) | Needs Manual Lookup: No direct phone or verified email found.,osm,2026-08-19 10:27:02
287,Casa Moda,real estate,Dubai,AE,,,,Jumeira Street,,,,,,40,WARM,needs_manual_lookup,False,"Google Ads, SEO, Social Media Marketing, Web Development",Priority WARM (Score 40/100) | Signals: No active website (+30); No active social media channels (+10) | Recommended Services: Web Development (no active website found); SEO (needs initial search visibility & indexing); Social Media Marketing (no active social channels detected); Google Ads (high commercial search demand & acquisition intent) | Needs Manual Lookup: No direct phone or verified email found.,osm,2026-08-19 10:27:02
288,JK Real Estate,real estate,Dubai,AE,,,,Jumeira Street,,,,,,40,WARM,needs_manual_lookup,False,"Google Ads, SEO, Social Media Marketing, Web Development",Priority WARM (Score 40/100) | Signals: No active website (+30); No active social media channels (+10) | Recommended Services: Web Development (no active website found); SEO (needs initial search visibility & indexing); Social Media Marketing (no active social channels detected); Google Ads (high commercial search demand & acquisition intent) | Needs Manual Lookup: No direct phone or verified email found.,osm,2026-08-19 10:27:02
289,Bin Ghalita,real estate,Dubai,AE,,,,AL Rolla Street,,,,,,40,WARM,needs_manual_lookup,False,"Google Ads, SEO, Social Media Marketing, Web Development",Priority WARM (Score 40/100) | Signals: No active website (+30); No active social media channels (+10) | Recommended Services: Web Development (no active website found); SEO (needs initial search visibility & indexing); Social Media Marketing (no active social channels detected); Google Ads (high commercial search demand & acquisition intent) | Needs Manual Lookup: No direct phone or verified email found.,osm,2026-08-19 10:27:02
290,Zahid Syed Real Estate Management,real estate,Dubai,AE,,,,Street 26,,,,,,40,WARM,needs_manual_lookup,False,"Google Ads, SEO, Social Media Marketing, Web Development",Priority WARM (Score 40/100) | Signals: No active website (+30); No active social media channels (+10) | Recommended Services: Web Development (no active website found); SEO (needs initial search visibility & indexing); Social Media Marketing (no active social channels detected); Google Ads (high commercial search demand & acquisition intent) | Needs Manual Lookup: No direct phone or verified email found.,osm,2026-08-19 10:27:02
291,Dynamite Real Estate,real estate,Dubai,AE,,,,2nd December Street,,,,,,40,WARM,needs_manual_lookup,False,"Google Ads, SEO, Social Media Marketing, Web Development",Priority WARM (Score 40/100) | Signals: No active website (+30); No active social media channels (+10) | Recommended Services: Web Development (no active website found); SEO (needs initial search visibility & indexing); Social Media Marketing (no active social channels detected); Google Ads (high commercial search demand & acquisition intent) | Needs Manual Lookup: No direct phone or verified email found.,osm,2026-08-19 10:27:02
292,Lands Department,real estate,Dubai,AE,,,,Street 21,,,,,,40,WARM,needs_manual_lookup,False,"Google Ads, SEO, Social Media Marketing, Web Development",Priority WARM (Score 40/100) | Signals: No active website (+30); No active social media channels (+10) | Recommended Services: Web Development (no active website found); SEO (needs initial search visibility & indexing); Social Media Marketing (no active social channels detected); Google Ads (high commercial search demand & acquisition intent) | Needs Manual Lookup: No direct phone or verified email found.,osm,2026-08-19 10:27:02
293,Popular Real Estate,real estate,Dubai,AE,,,,Street 14a,,,,,,40,WARM,needs_manual_lookup,False,"Google Ads, SEO, Social Media Marketing, Web Development",Priority WARM (Score 40/100) | Signals: No active website (+30); No active social media channels (+10) | Recommended Services: Web Development (no active website found); SEO (needs initial search visibility & indexing); Social Media Marketing (no active social channels detected); Google Ads (high commercial search demand & acquisition intent) | Needs Manual Lookup: No direct phone or verified email found.,osm,2026-08-19 10:27:02
